gop,object_id,mAP,AP50,AP75,predictions,ground_truths
0,1,0.24693877551020407,0.4489795918367347,0.22448979591836735,49,49
0,2,0.21836734693877552,0.40816326530612246,0.16326530612244897,49,49
0,125,0.21224489795918364,0.3877551020408163,0.1836734693877551,49,49
1,1,0.44693877551020406,1.0,0.14285714285714285,49,49
1,2,0.6122448979591837,1.0,0.5918367346938775,49,49
1,125,0.4040816326530612,1.0,0.16326530612244897,49,49
2,1,0.9061224489795918,1.0,1.0,49,49
2,2,0.7653061224489796,1.0,0.7551020408163265,49,49
2,125,0.8612244897959183,1.0,1.0,49,49
