gop,object_id,mAP,AP50,AP75,predictions,ground_truths
0,1,1.0,1.0,1.0,49,49
0,2,0.3795918367346939,0.7755102040816326,0.30612244897959184,49,49
0,3,1.0,1.0,1.0,49,49
0,4,0.6755102040816328,1.0,1.0,49,49
0,5,0.6612244897959183,1.0,0.6938775510204082,49,49
0,6,1.0,1.0,1.0,49,49
0,60,1.0,1.0,1.0,49,49
0,61,0.1979591836734694,0.3673469387755102,0.1836734693877551,49,49
0,62,1.0,1.0,1.0,49,49
0,63,0.24693877551020402,0.4489795918367347,0.20408163265306123,49,49
0,65,0.1653061224489796,0.3877551020408163,0.14285714285714285,49,49
0,66,0.12653061224489798,0.3469387755102041,0.08163265306122448,49,49
0,67,0.26530612244897955,0.40816326530612246,0.24489795918367346,49,49
0,68,0.22653061224489796,0.42857142857142855,0.1836734693877551,49,49
0,69,0.15306122448979592,0.2857142857142857,0.12244897959183673,49,49
0,70,0.653061224489796,1.0,0.673469387755102,49,49
0,71,0.6224489795918368,1.0,0.7959183673469388,49,49
0,72,0.5714285714285714,1.0,0.5102040816326531,49,49
0,73,0.43673469387755104,1.0,0.2653061224489796,49,49
0,74,0.3142857142857143,0.5306122448979592,0.3469387755102041,49,49
0,75,0.19591836734693877,0.5510204081632653,0.16326530612244897,49,49
0,76,1.0,1.0,1.0,49,49
0,78,0.7959183673469388,1.0,0.9795918367346939,49,49
0,80,0.5918367346938777,1.0,0.5510204081632653,49,49
0,82,0.3653061224489796,1.0,0.2653061224489796,49,49
0,83,0.5020408163265306,1.0,0.3673469387755102,49,49
0,84,0.31020408163265306,0.5510204081632653,0.2857142857142857,49,49
0,85,0.5306122448979592,0.7346938775510204,0.5306122448979592,49,49
0,86,0.9142857142857144,1.0,1.0,49,49
0,87,0.963265306122449,1.0,1.0,49,49
0,88,0.926530612244898,1.0,1.0,49,49
0,89,0.5326530612244897,0.8367346938775511,0.5714285714285714,49,49
0,90,0.8387755102040817,1.0,1.0,49,49
0,91,0.8673469387755102,1.0,1.0,49,49
0,92,0.5551020408163265,1.0,0.22448979591836735,49,49
0,93,0.3204081632653061,0.7959183673469388,0.22448979591836735,49,49
0,94,0.7673469387755101,1.0,0.7551020408163265,49,49
0,95,0.9714285714285713,1.0,1.0,49,49
0,96,0.8489795918367348,1.0,1.0,49,49
0,97,0.02040816326530612,0.02040816326530612,0.02040816326530612,49,49
1,1,0.8306122448979592,1.0,1.0,49,49
1,2,0.44693877551020417,0.8775510204081632,0.3877551020408163,49,49
1,3,1.0,1.0,1.0,49,49
1,4,1.0,1.0,1.0,49,49
1,5,0.5428571428571428,1.0,0.5306122448979592,49,49
