gop,object_id,mAP,AP50,AP75,predictions,ground_truths
0,2,0.3571428571428571,0.6938775510204082,0.2857142857142857,49,49
0,3,0.5918367346938777,0.8775510204081632,0.5510204081632653,49,49
0,9,0.9020408163265307,1.0,1.0,49,49
0,10,1.0,1.0,1.0,49,49
0,14,0.7591836734693878,1.0,0.8571428571428571,49,49
0,15,0.563265306122449,1.0,0.46938775510204084,49,49
0,17,0.8122448979591838,1.0,1.0,49,49
0,18,0.6918367346938774,1.0,0.7142857142857143,49,49
0,19,0.6448979591836734,1.0,0.7142857142857143,49,49
0,20,0.3653061224489796,0.673469387755102,0.30612244897959184,49,49
0,31,1.0,1.0,1.0,49,49
0,36,0.8387755102040817,1.0,1.0,49,49
0,68,0.7081632653061225,1.0,0.7959183673469388,49,49
0,69,0.5775510204081632,1.0,0.46938775510204084,49,49
0,72,0.11632653061224489,0.22448979591836735,0.10204081632653061,49,49
1,3,0.6653061224489796,1.0,0.6938775510204082,49,49
1,9,0.9816326530612244,1.0,1.0,49,49
1,10,0.9551020408163264,1.0,1.0,49,49
1,14,0.9836734693877551,1.0,1.0,49,49
1,15,0.7326530612244898,1.0,1.0,49,49
1,17,0.889795918367347,1.0,1.0,49,49
1,18,0.9653061224489796,1.0,1.0,49,49
1,19,0.7816326530612245,1.0,1.0,49,49
1,20,0.2571428571428571,0.5306122448979592,0.20408163265306123,49,49
1,31,0.7979591836734694,1.0,0.7551020408163265,49,49
1,39,0.10816326530612244,0.20408163265306123,0.10204081632653061,49,49
1,68,0.9020408163265305,1.0,1.0,49,49
1,69,0.7122448979591838,1.0,0.5306122448979592,49,49
2,3,0.4979591836734694,0.8571428571428571,0.42857142857142855,49,49
2,9,0.9897959183673469,1.0,1.0,49,49
2,10,1.0,1.0,1.0,49,49
2,14,0.13061224489795917,0.2653061224489796,0.10204081632653061,49,49
2,15,0.8224489795918368,1.0,1.0,49,49
2,17,0.9102040816326531,1.0,1.0,49,49
2,18,0.3979591836734694,0.5714285714285714,0.42857142857142855,49,49
2,19,0.5285714285714287,1.0,0.30612244897959184,49,49
2,20,0.3959183673469388,0.9183673469387755,0.3469387755102041,49,49
2,26,0.1836734693877551,0.30612244897959184,0.1836734693877551,49,49
2,27,0.9163265306122449,1.0,1.0,49,49
2,29,0.17551020408163265,0.3673469387755102,0.12244897959183673,49,49
2,31,0.20816326530612245,0.40816326530612246,0.1836734693877551,49,49
2,37,0.19591836734693877,0.2857142857142857,0.22448979591836735,49,49
2,68,0.7122448979591837,1.0,1.0,49,49
2,69,0.9326530612244899,1.0,1.0,49,49
