gop,object_id,mAP,AP50,AP75,predictions,ground_truths
0,19,0.7224489795918367,1.0,0.8163265306122449,49,49
0,20,0.5020408163265306,1.0,0.32653061224489793,49,49
0,21,0.5020408163265306,1.0,0.5714285714285714,49,49
0,22,0.4204081632653061,0.8979591836734694,0.2857142857142857,49,49
0,23,0.41836734693877553,1.0,0.2857142857142857,49,49
1,1,0.04285714285714286,0.061224489795918366,0.04081632653061224,49,49
1,19,0.6428571428571428,1.0,0.5918367346938775,49,49
1,20,0.5653061224489796,1.0,0.5510204081632653,49,49
1,21,0.9755102040816327,1.0,1.0,49,49
1,22,0.9571428571428571,1.0,1.0,49,49
1,23,0.4,0.8979591836734694,0.3673469387755102,49,49
2,1,0.7142857142857142,1.0,0.9795918367346939,49,49
2,7,0.47551020408163264,1.0,0.22448979591836735,49,49
2,19,0.4367346938775511,0.8571428571428571,0.3469387755102041,49,49
2,20,0.5489795918367347,1.0,0.5102040816326531,49,49
