gop,object_id,mAP,AP50,AP75,predictions,ground_truths
0,1,0.5857142857142857,1.0,0.6122448979591837,49,49
0,3,0.18979591836734697,0.5306122448979592,0.12244897959183673,49,49
0,4,0.29999999999999993,0.7346938775510204,0.22448979591836735,49,49
0,5,0.27959183673469384,0.8571428571428571,0.12244897959183673,49,49
0,6,0.4346938775510204,0.9591836734693877,0.2857142857142857,49,49
0,13,0.11020408163265308,0.32653061224489793,0.08163265306122448,49,49
0,14,0.30612244897959184,0.46938775510204084,0.3469387755102041,49,49
0,17,0.15510204081632656,0.4489795918367347,0.061224489795918366,49,49
0,18,0.1326530612244898,0.46938775510204084,0.04081632653061224,49,49
0,29,0.07346938775510203,0.12244897959183673,0.08163265306122448,49,49
1,1,0.689795918367347,1.0,0.9591836734693877,49,49
1,4,0.2020408163265306,0.40816326530612246,0.16326530612244897,49,49
1,5,0.273469387755102,0.6122448979591837,0.16326530612244897,49,49
1,13,0.7775510204081633,1.0,0.9795918367346939,49,49
1,14,0.7673469387755102,1.0,0.8979591836734694,49,49
1,17,0.3387755102040816,0.7755102040816326,0.20408163265306123,49,49
1,18,0.6122448979591837,1.0,0.6326530612244898,49,49
1,29,0.0489795918367347,0.10204081632653061,0.04081632653061224,49,49
1,30,0.08979591836734695,0.14285714285714285,0.08163265306122448,49,49
1,80,0.07959183673469387,0.22448979591836735,0.061224489795918366,49,49
2,1,0.6775510204081632,1.0,0.6938775510204082,49,49
2,5,0.4877551020408163,0.9591836734693877,0.5918367346938775,49,49
2,13,0.4244897959183673,0.8367346938775511,0.3469387755102041,49,49
2,14,0.5877551020408163,1.0,0.5714285714285714,49,49
2,24,0.27346938775510204,0.5306122448979592,0.1836734693877551,49,49
2,25,0.6714285714285714,1.0,0.7142857142857143,49,49
2,26,0.6530612244897959,1.0,0.6530612244897959,49,49
2,30,0.059183673469387764,0.08163265306122448,0.061224489795918366,49,49
2,80,0.07346938775510205,0.24489795918367346,0.061224489795918366,49,49
